transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price
0x3476236442c820896c80dccbae268ee03fb504987b75be6ab8edec763be1fdb2,0,0x101ca6f20088779697097a7f2650c41fa06d34e3fc556a339916b85ca63298ef,6,100317,100317,,,1,0
0x073856586043678ddd29da73a6a5073ea04da2c5a662510bd625393587442734,0,0xdc89e0d9c3ea1d69969b6fff04df3a724a5354f31718f99294517e9ee67c9bab,8,100317,100317,,,1,0
0x11d7b9d99969073db55e3f63dd1de9ba373ee557ac410d610d433c8ae74e4349,0,0x21a91c3528d3dc839a1fdbd4d4442866acb61eb5799a32da6a66aebcdedd8dea,9,100317,100317,,,1,0
0x19eaae1f7bdd28605f4175d7e87c9de68431bf76e85a262e268252a84bfc3984,0,0xa78e7a9c6910fea66a981389735e0c652f1625905c6e0dca08d3f5c1694b7cc4,11,100317,100317,,,1,0
0xf2e58e0efd0396a6db02b627e60b6d3a16947ab76de518f74ec4b4641a22e2fe,0,0x51a6ebadc02f5150af6e0c034e595f212d2c7b20e939d59633c2978b100674d8,12,100317,100317,,,1,0
0x07fa082553751bba741911de9480cf5c890a59a8f29a84b58e14e49720c5d3f7,0,0x7d0b079792fb1ed4d921483309793e5c226f138dbd5f3f69e9ceae70ef8a8348,13,100317,100317,,,1,0
0x7250a4963625b2b2ceecb41a8acc43809ace47df88453abf39283d56dec191d1,0,0x2df2f06983e1113331cbdf49cf0b660afc63c27bcc420406136f7815ae9a3a6e,21,100317,100317,,,1,0
0x578bea09ad535fb2a23372c21d3355f44bb3818ebbda46e7ca1c14e04ba69bac,0,0xe9d7ac1ef296259ef8fc71601db7da8436cd13bb1c11b465233ef331646dba7c,25,24428,24428,,,1,0
0x4b9c304a7bb1bb1f4b2fe25885fb355e543f8fe92d861e8c12208423911761f0,0,0xf3b51a03417a1aa0d618ae84e08da26e4577e17b57e35ce8347cf6c549c36aa2,32,24428,24428,,,1,0
0x4409016df724882f73fe2db9c98ac162c7bd5a3fab8c9ecb889099f78fcc25e9,0,0x88acc5133fb7817ad1bcb26dc690dddd3279f82be22f36319084ddaf579dcb96,958,228141,228141,,,1,20000000000
0x4d74a6fc84d57f18b8e1dfa07ee517c4feb296d16a8353ee41adc03669982028,1,0x88acc5133fb7817ad1bcb26dc690dddd3279f82be22f36319084ddaf579dcb96,958,569641,341500,,,1,20000000000
0xe91d533899194836a9ed9b325f052f4cf1ad556e1662e945b5967eefafe030b1,2,0x88acc5133fb7817ad1bcb26dc690dddd3279f82be22f36319084ddaf579dcb96,958,571157,1516,,,1,0
0x6be57dba4e17a35a7222a998b7157ef9e998bc0dedcf3f5ea60d42d5d5734226,3,0x88acc5133fb7817ad1bcb26dc690dddd3279f82be22f36319084ddaf579dcb96,958,603307,32150,,,1,0
